"","x"
"1",0.651898510501041
"2",0.501523612497857
"3",0.636713826212573
"4",0.62539854993352
"5",0.63649576204557
"6",0.478721444419021
"7",0.498214129678645
"8",0.978800220904971
"9",0.508498386435832
"10",0.959345620928581
"11",0.504762289875929
"12",0.958214832363047
"13",0.504218224509814
"14",0.5054020257912
"15",0.471830624818609
"16",0.96779262801641
"17",0.507077349357738
"18",0.633303506511554
"19",0.633908459099262
"20",0.970471048090339
"21",0.511065195658192
"22",0.521055860372691
"23",0.487362407761825
"24",0.51890116235371
"25",0.479123439092603
"26",0.506576758673043
"27",0.493321653911081
"28",0.976618794268827
"29",0.514097460320394
"30",0.96295357737627
"31",0.97007506875601
"32",0.462011457691356
"33",0.502129717631991
"34",0.966947226584819
"35",0.492059275687477
"36",0.984594882565382
"37",0.968965677262816
"38",0.519748779153539
"39",0.482778129947049
"40",0.511821823484859
"41",0.500655317124922
"42",0.503571782000553
"43",0.623416602696343
"44",0.964952328249989
"45",0.978048008460121
"46",0.625129712803572
"47",0.503172684728695
"48",0.966184949893419
"49",0.510364803910292
"50",0.624800970813174
"51",0.491817853751596
"52",0.508969127368564
"53",0.506425231429769
"54",0.970351352698721
"55",0.496644477509243
"56",0.65038047833841
"57",0.984884179828112
"58",0.632492047254927
"59",0.479903986186486
"60",0.635058983697563
"61",0.466862970546078
"62",0.628329062918225
"63",0.503298329620887
"64",0.961560044662069
"65",0.500455584877652
"66",0.498262119334149
"67",0.509030832192118
"68",0.497047087493618
"69",0.512742335291166
"70",0.494032838085388
"71",0.973015771571193
"72",0.976955535394368
"73",0.967966542735082
"74",0.497207722340477
"75",0.65169674747238
"76",0.645867803454171
"77",0.639214827524856
"78",0.51972345812085
"79",0.481877008479586
"80",0.636794655130929
"81",0.636614728284831
"82",0.481060202543799
"83",0.486916172755685
"84",0.966775531936154
"85",0.964117894267516
"86",0.507462589177809
"87",0.481272337723124
"88",0.973765726769162
"89",0.516486624520538
"90",0.495278041729792
"91",0.466765605287174
"92",0.967891155851477
"93",0.516177746288961
"94",0.635755188087579
"95",0.999777009446817
"96",0.505057851375446
"97",0.481100652140661
"98",0.964958320761541
"99",0.496943511695388
"100",0.967718318934645
